"V2","V160A","V160B","V160C","V160D","V160E","V160F","V160G","V160H","V160I","V160J","V240","V242"
12,3,2,3,2,1,2,2,3,2,2,1,21
12,2,4,4,2,3,2,4,1,1,2,2,24
12,2,3,2,4,3,3,2,4,3,2,2,26
12,2,3,4,1,2,4,2,2,3,2,2,28
12,2,4,3,3,2,4,3,2,2,3,2,35
12,2,3,4,2,2,4,3,1,1,2,1,36
12,2,2,1,1,2,2,3,1,1,2,1,41
12,2,3,1,2,3,4,3,3,3,3,2,44
12,2,3,4,2,2,2,2,3,3,2,1,59
12,3,1,1,2,3,2,3,3,4,2,2,72
12,4,3,2,2,3,1,2,2,3,2,2,23
12,3,2,1,2,3,2,3,2,2,2,1,29
12,3,2,1,2,2,3,1,1,2,2,1,30
12,2,3,4,2,3,3,2,3,3,4,2,30
12,2,3,3,3,4,2,2,3,2,2,1,31
12,1,2,2,3,2,2,1,2,3,2,2,40
12,2,3,4,3,2,2,3,3,2,4,1,44
12,2,2,3,2,2,2,2,2,2,2,2,47
12,3,2,3,2,4,3,3,2,3,3,1,52
12,2,3,2,2,3,4,3,2,3,3,2,68
12,1,5,5,3,1,3,5,4,5,5,2,19
12,1,1,1,3,1,5,1,1,5,1,1,20
12,1,5,5,1,5,3,1,1,5,4,2,23
12,4,4,3,1,2,4,1,3,5,5,2,24
12,3,2,1,5,1,5,5,5,1,1,2,30
12,4,1,1,1,1,5,5,5,5,5,1,36
12,4,1,1,5,3,5,5,5,1,5,2,44
12,5,3,1,5,1,5,4,5,1,5,1,47
12,1,2,1,1,1,5,1,5,5,1,2,55
12,5,1,1,5,1,5,5,5,5,5,1,65
12,1,5,5,1,5,5,1,1,1,5,1,20
12,2,2,2,4,1,5,5,5,5,5,2,23
12,5,1,1,5,3,5,5,5,1,5,1,31
12,5,1,1,5,4,5,5,5,2,5,2,32
12,2,3,1,1,1,1,5,5,5,5,2,42
12,5,2,1,5,1,5,5,5,5,5,1,46
12,2,2,1,1,4,4,4,4,4,4,2,55
12,5,1,1,5,1,5,5,5,1,2,1,76
12,5,1,1,5,1,5,5,5,1,2,1,76
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,18
12,4,2,4,5,1,4,5,4,2,5,2,21
12,4,3,2,4,5,5,3,4,4,4,2,28
12,3,4,1,4,1,1,1,5,4,2,1,29
12,4,3,2,4,4,5,3,2,5,5,2,32
12,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,1,39
12,2,2,2,1,4,4,4,4,5,4,2,40
12,4,3,2,2,3,4,2,3,4,3,1,44
12,1,2,5,2,2,5,2,5,2,2,1,55
12,4,5,2,4,1,4,3,4,2,3,2,63
12,4,4,1,4,2,4,5,5,4,4,1,25
12,2,2,4,3,5,5,1,2,4,5,2,23
12,3,3,3,5,1,4,2,5,5,3,2,24
12,2,1,4,3,3,5,5,4,5,5,2,24
12,4,3,2,2,4,4,3,4,2,2,2,24
12,2,4,1,5,5,5,2,4,5,5,1,25
12,5,4,3,4,2,3,3,5,4,2,1,25
12,4,2,3,3,3,4,4,4,4,4,1,28
12,4,3,4,2,1,5,4,4,4,3,1,28
12,1,1,1,2,3,4,4,4,5,4,2,29
12,1,1,1,3,3,4,3,5,3,3,2,87
12,3,4,3,4,5,4,3,5,4,2,2,22
12,5,1,4,5,3,5,5,5,5,5,2,24
12,4,2,2,4,3,5,5,-1,2,4,2,24
12,2,1,4,4,2,5,2,4,5,4,2,28
12,5,3,3,4,4,4,2,5,5,4,2,45
12,4,4,1,4,4,4,3,4,3,3,2,49
12,5,5,5,5,2,4,3,5,3,4,2,51
12,5,5,1,5,5,5,5,5,5,5,2,61
12,4,4,1,4,2,4,4,5,5,4,1,62
12,3,3,4,3,3,3,3,3,3,3,1,44
12,2,2,2,2,3,4,3,4,1,1,2,31
12,4,4,3,4,-1,4,3,4,4,4,2,32
12,1,1,1,4,4,4,1,4,5,4,1,32
12,4,4,3,4,-1,4,3,4,4,4,2,33
12,-1,4,4,5,-1,-1,-1,-1,-1,-1,1,37
12,2,2,2,2,3,4,3,3,4,4,1,46
12,2,2,2,2,3,4,3,4,1,1,1,48
12,4,4,4,2,2,4,1,4,3,-1,1,60
12,-1,-1,-1,-1,-1,3,-1,-1,3,-1,1,69
12,4,4,4,2,2,4,1,4,3,-1,1,50
12,2,2,2,2,3,4,3,4,1,1,2,23
12,2,2,2,2,3,4,3,4,1,1,2,25
12,4,4,4,4,4,4,-1,4,4,4,2,34
12,2,2,2,2,3,4,3,4,1,1,1,35
12,2,2,2,2,3,4,3,4,1,1,1,37
12,2,2,2,2,3,4,3,4,1,1,1,40
12,-1,4,4,5,-1,-1,-1,-1,-1,-1,1,42
12,2,2,2,2,3,4,3,4,1,1,2,44
12,1,1,3,4,3,3,-1,-1,-1,-1,1,64
12,4,4,4,2,2,4,1,3,3,-1,1,70
12,-1,-1,3,3,4,4,4,-1,-1,-1,2,27
12,-1,-1,3,3,4,4,4,-1,-1,-1,2,30
12,1,1,1,4,4,4,1,4,5,4,1,33
12,4,4,4,4,4,4,-1,4,4,4,2,36
12,-1,4,4,5,-1,-1,-1,-1,-1,-1,1,41
12,2,2,2,2,3,4,3,4,1,1,1,43
12,2,2,2,2,3,4,3,4,1,1,1,44
12,4,4,2,2,2,4,1,4,3,3,1,59
12,-1,-1,-1,-1,-1,3,-1,-1,3,-1,1,62
12,4,4,4,2,2,4,1,4,3,-1,1,62
12,2,2,2,2,3,4,3,4,1,1,2,32
12,2,2,2,2,2,4,4,1,1,1,1,32
12,2,2,2,2,3,4,3,4,1,1,2,33
12,2,2,2,2,3,4,3,4,1,1,1,33
12,1,1,1,4,4,4,1,4,5,4,1,34
12,1,1,1,4,4,4,1,4,5,4,1,34
12,4,4,4,4,4,4,-1,4,4,4,2,35
12,4,4,4,4,4,4,-1,4,4,4,2,37
12,1,1,1,4,4,4,1,4,5,4,1,38
12,4,4,4,4,4,4,5,4,4,4,2,38
12,2,2,2,2,3,4,3,4,1,1,2,38
12,1,1,1,4,4,4,1,4,5,4,1,40
12,4,4,4,4,4,4,-1,4,4,4,2,40
12,2,2,2,2,3,4,3,4,1,1,2,41
12,1,1,3,4,3,3,-1,-1,-1,-1,1,44
12,-1,4,4,5,-1,-1,-1,-1,-1,-1,1,47
12,1,1,3,4,3,3,-1,-1,-1,-1,1,50
12,4,4,4,2,2,4,1,4,3,-1,1,60
12,2,2,2,2,3,4,3,4,1,1,2,62
12,2,2,2,2,3,4,4,3,4,1,1,34
12,2,2,2,2,3,4,3,4,1,1,2,20
12,2,2,2,2,2,2,3,3,3,3,2,25
12,4,4,3,4,-1,4,3,4,4,4,2,34
12,2,2,2,2,3,4,3,4,1,1,1,38
12,2,2,2,2,2,2,3,3,3,3,2,39
12,1,1,1,4,4,4,1,4,5,4,1,40
12,2,2,2,2,3,4,3,4,1,1,1,40
12,-1,4,4,5,-1,-1,-1,-1,-1,-1,1,44
12,1,1,3,4,3,3,-1,-1,-1,-1,1,60
